{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  102 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.25 ; Trained episode: 7
Episode:  103 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.24 ; Trained episode: 7
Episode:  104 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.24 ; Trained episode: 7
Episode:  105 controlled agent:  1 ; Episode Return:  -366.0 ; win rate(controlled & opponent):  0.07 0.24 ; Trained episode: 7
Episode:  106 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.23 ; Trained episode: 8
Episode:  107 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.23 ; Trained episode: 8
Episode:  108 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.23 ; Trained episode: 8
Episode:  109 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.22 ; Trained episode: 8
Episode:  110 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.21 ; Trained episode: 8
Episode:  111 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.21 ; Trained episode: 8
Episode:  112 controlled agent:  1 ; Episode Return:  -343.0 ; win rate(controlled & opponent):  0.08 0.21 ; Trained episode: 8
Episode:  113 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.21 ; Trained episode: 9
Episode:  114 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.21 ; Trained episode: 9
Episode:  115 controlled agent:  1 ; Episode Return:  -192.0 ; win rate(controlled & opponent):  0.08 0.21 ; Trained episode: 9
Episode:  116 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.21 ; Trained episode: 9
Episode:  117 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.21 ; Trained episode: 9
Episode:  118 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.08 0.20 ; Trained episode: 9
Episode:  119 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.07 0.20 ; Trained episode: 9
Episode:  120 controlled agent:  1 ; Episode Return:  -132.0 ; win rate(controlled & opponent):  0.07 0.21 ; Trained episode: 9
Episode:  121 controlled agent:  1 ; Episode Return:  -496.0 ; win rate(controlled & opponent):  0.07 0.21 ; Trained episode: 9
Episode:  122 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 9
Episode:  123 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 9
Episode:  124 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 9
Episode:  125 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.21 ; Trained episode: 9
Episode:  126 controlled agent:  1 ; Episode Return:  -334.0 ; win rate(controlled & opponent):  0.06 0.22 ; Trained episode: 9
Episode:  127 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.22 ; Trained episode: 9
Episode:  128 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.06 0.22 ; Trained episode: 9
Episode:  129 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.22 ; Trained episode: 9
Episode:  130 controlled agent:  1 ; Episode Return:  -328.0 ; win rate(controlled & opponent):  0.05 0.23 ; Trained episode: 9
Episode:  131 controlled agent:  1 ; Episode Return:  -456.0 ; win rate(controlled & opponent):  0.05 0.24 ; Trained episode: 9
Episode:  132 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.24 ; Trained episode: 9
Episode:  133 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.03 0.24 ; Trained episode: 9
Episode:  134 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.03 0.24 ; Trained episode: 9
Episode:  135 controlled agent:  1 ; Episode Return:  -215.0 ; win rate(controlled & opponent):  0.04 0.24 ; Trained episode: 9
Episode:  136 controlled agent:  1 ; Episode Return:  -454.0 ; win rate(controlled & opponent):  0.04 0.25 ; Trained episode: 10
Episode:  137 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.25 ; Trained episode: 10
Episode:  138 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.24 ; Trained episode: 10
Episode:  139 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.24 ; Trained episode: 10
Episode:  140 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.24 ; Trained episode: 10
Episode:  141 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.23 ; Trained episode: 10
Episode:  142 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.23 ; Trained episode: 10
Episode:  143 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.23 ; Trained episode: 10
Episode:  144 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.22 ; Trained episode: 10
Episode:  145 controlled agent:  1 ; Episode Return:  -412.0 ; win rate(controlled & opponent):  0.04 0.23 ; Trained episode: 10
Episode:  146 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.22 ; Trained episode: 10
Episode:  147 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.22 ; Trained episode: 10
Episode:  148 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.22 ; Trained episode: 10
Episode:  149 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.21 ; Trained episode: 10
Episode:  150 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.21 ; Trained episode: 10
Episode:  151 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.04 0.21 ; Trained episode: 10
Episode:  152 controlled agent:  1 ; Episode Return:  -123.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 10
Episode:  153 controlled agent:  1 ; Episode Return:  -276.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  154 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  155 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  156 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.21 ; Trained episode: 11
Episode:  157 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.20 ; Trained episode: 11
Episode:  158 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.05 0.20 ; Trained episode: 11
