{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 2,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run2
Episode:  1 controlled agent:  1 ; Episode Return:  -483.0 ; win rate(coFntrolled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  757 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 42
Episode:  758 controlled agent:  1 ; Episode Return:  -425.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 42
Episode:  759 controlled agent:  1 ; Episode Return:  -201.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 42
Episode:  760 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 42
Episode:  761 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 42
Episode:  762 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.26 ; Trained episode: 42
Episode:  763 controlled agent:  1 ; Episode Return:  -367.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 42
Episode:  764 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 43
Episode:  765 controlled agent:  1 ; Episode Return:  -303.0 ; win rate(coFntrolled & opponent):  0.09 0.25 ; Trained episode: 43
Episode:  766 controlled agent:  1 ; Episode Return:  -351.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 44
Episode:  767 controlled agent:  1 ; Episode Return:  -208.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 44
Episode:  768 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 44
Episode:  769 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 44
Episode:  770 controlled agent:  1 ; Episode Return:  -281.0 ; win rate(coFntrolled & opponent):  0.08 0.27 ; Trained episode: 44
Episode:  771 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.26 ; Trained episode: 44
Episode:  772 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.25 ; Trained episode: 44
Episode:  773 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.24 ; Trained episode: 44
Episode:  774 controlled agent:  1 ; Episode Return:  -321.0 ; win rate(coFntrolled & opponent):  0.07 0.25 ; Trained episode: 44
Episode:  775 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.24 ; Trained episode: 44
Episode:  776 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.23 ; Trained episode: 44
Episode:  777 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  778 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  779 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  780 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.21 ; Trained episode: 44
Episode:  781 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.21 ; Trained episode: 44
Episode:  782 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.21 ; Trained episode: 44
Episode:  783 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.21 ; Trained episode: 44
Episode:  784 controlled agent:  1 ; Episode Return:  -412.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  785 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  786 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  787 controlled agent:  1 ; Episode Return:  -197.0 ; win rate(coFntrolled & opponent):  0.07 0.23 ; Trained episode: 44
Episode:  788 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.23 ; Trained episode: 44
Episode:  789 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.23 ; Trained episode: 44
Episode:  790 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  791 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  792 controlled agent:  1 ; Episode Return:  -311.0 ; win rate(coFntrolled & opponent):  0.07 0.23 ; Trained episode: 44
Episode:  793 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.23 ; Trained episode: 44
Episode:  794 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  795 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 44
Episode:  796 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 44
Episode:  797 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 44
Episode:  798 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 44
Episode:  799 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 44
Episode:  800 controlled agent:  1 ; Episode Return:  -361.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 44
Episode:  801 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 44
Episode:  802 controlled agent:  1 ; Episode Return:  -177.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 44
Episode:  803 controlled agent:  1 ; Episode Return:  -178.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 44
Episode:  804 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 44
Episode:  805 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 44
Episode:  806 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.24 ; Trained episode: 44
Episode:  807 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.23 ; Trained episode: 44
Episode:  808 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.23 ; Trained episode: 44
Episode:  809 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.23 ; Trained episode: 44
Episode:  810 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.22 ; Trained episode: 44
Episode:  811 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.22 ; Trained episode: 44
Episode:  812 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.21 ; Trained episode: 44
Episode:  813 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.21 ; Trained episode: 44
Episode:  814 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.21 ; Trained episode: 44
Episode:  815 controlled agent:  1 ; Episode Return:  -184.0 ; win rate(coFntrolled & opponent):  0.04 0.22 ; Trained episode: 44
Episode:  816 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.22 ; Trained episode: 44
Episode:  817 controlled agent:  1 ; Episode Return:  -171.0 ; win rate(coFntrolled & opponent):  0.05 0.21 ; Trained episode: 44
Episode:  818 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.20 ; Trained episode: 45
Episode:  819 controlled agent:  1 ; Episode Return:  -278.0 ; win rate(coFntrolled & opponent):  0.05 0.21 ; Trained episode: 45
Episode:  820 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.21 ; Trained episode: 45
Episode:  821 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.21 ; Trained episode: 45
Episode:  822 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.21 ; Trained episode: 45
Episode:  823 controlled agent:  1 ; Episode Return:  -324.0 ; win rate(coFntrolled & opponent):  0.05 0.22 ; Trained episode: 45
Episode:  824 controlled agent:  1 ; Episode Return:  -250.0 ; win rate(coFntrolled & opponent):  0.05 0.23 ; Trained episode: 45
Episode:  825 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.23 ; Trained episode: 45
Episode:  826 controlled agent:  1 ; Episode Return:  -315.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 45
Episode:  827 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 46
Episode:  828 controlled agent:  1 ; Episode Return:  -187.0 ; win rate(coFntrolled & opponent):  0.07 0.22 ; Trained episode: 46
Episode:  829 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.22 ; Trained episode: 47
Episode:  830 controlled agent:  1 ; Episode Return:  -212.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 47
Episode:  831 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 47
Episode:  832 controlled agent:  1 ; Episode Return:  -298.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 47
Episode:  833 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 47
Episode:  834 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 47
Episode:  835 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 47
Episode:  836 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 47
Episode:  837 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 47
Episode:  838 controlled agent:  1 ; Episode Return:  -231.0 ; win rate(coFntrolled & opponent):  0.06 0.23 ; Trained episode: 47
Episode:  839 controlled agent:  1 ; Episode Return:  -304.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 47
Episode:  840 controlled agent:  1 ; Episode Return:  -196.0 ; win rate(coFntrolled & opponent):  0.06 0.24 ; Trained episode: 47
Episode:  841 controlled agent:  1 ; Episode Return:  -381.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 47
Episode:  842 controlled agent:  1 ; Episode Return:  -355.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 47
Episode:  843 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 47
Episode:  844 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.25 ; Trained episode: 47
Episode:  845 controlled agent:  1 ; Episode Return:  -384.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 47
Episode:  846 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 47
Episode:  847 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 47
Episode:  848 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 47
Episode:  849 controlled agent:  1 ; Episode Return:  -456.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 47
Episode:  850 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 47
Episode:  851 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 47
Episode:  852 controlled agent:  1 ; Episode Return:  -180.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 47
Episode:  853 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 47
Episode:  854 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.26 ; Trained episode: 47
Episode:  855 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.26 ; Trained episode: 47
Episode:  856 controlled agent:  1 ; Episode Return:  -261.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 47
Episode:  857 controlled agent:  1 ; Episode Return:  -365.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 47
Episode:  858 controlled agent:  1 ; Episode Return:  -276.0 ; win rate(coFntrolled & opponent):  0.06 0.27 ; Trained episode: 47
Episode:  859 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 48
Episode:  860 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 48
Episode:  861 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 48
Episode:  862 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.26 ; Trained episode: 48
Episode:  863 controlled agent:  1 ; Episode Return:  -394.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 48
Episode:  864 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.27 ; Trained episode: 48
Episode:  865 controlled agent:  1 ; Episode Return:  -192.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  866 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.27 ; Trained episode: 48
Episode:  867 controlled agent:  1 ; Episode Return:  -180.0 ; win rate(coFntrolled & opponent):  0.04 0.27 ; Trained episode: 48
Episode:  868 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.27 ; Trained episode: 48
Episode:  869 controlled agent:  1 ; Episode Return:  -471.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  870 controlled agent:  1 ; Episode Return:  -327.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  871 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  872 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  873 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  874 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.27 ; Trained episode: 48
Episode:  875 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.27 ; Trained episode: 48
Episode:  876 controlled agent:  1 ; Episode Return:  -459.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  877 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.28 ; Trained episode: 48
Episode:  878 controlled agent:  1 ; Episode Return:  -218.0 ; win rate(coFntrolled & opponent):  0.04 0.29 ; Trained episode: 48
Episode:  879 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.29 ; Trained episode: 48
Episode:  880 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.29 ; Trained episode: 48
Episode:  881 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.29 ; Trained episode: 48
Episode:  882 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.29 ; Trained episode: 48
Episode:  883 controlled agent:  1 ; Episode Return:  -305.0 ; win rate(coFntrolled & opponent):  0.04 0.30 ; Trained episode: 48
Episode:  884 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.04 0.29 ; Trained episode: 48
Episode:  885 controlled agent:  1 ; Episode Return:  -259.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 48
Episode:  886 controlled agent:  1 ; Episode Return:  -486.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 49
Episode:  887 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 49
Episode:  888 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 49
Episode:  889 controlled agent:  1 ; Episode Return:  -325.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 49
Episode:  890 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 49
Episode:  891 controlled agent:  1 ; Episode Return:  -174.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 49
Episode:  892 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 50
Episode:  893 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 50
Episode:  894 controlled agent:  1 ; Episode Return:  -282.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 50
Episode:  895 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 51
Episode:  896 controlled agent:  1 ; Episode Return:  -341.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  897 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  898 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  899 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  900 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 51
Episode:  901 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 51
Episode:  902 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 51
Episode:  903 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.27 ; Trained episode: 51
Episode:  904 controlled agent:  1 ; Episode Return:  -282.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 51
Episode:  905 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.28 ; Trained episode: 51
Episode:  906 controlled agent:  1 ; Episode Return:  -207.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 51
Episode:  907 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.29 ; Trained episode: 51
Episode:  908 controlled agent:  1 ; Episode Return:  -469.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  909 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  910 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 51
Episode:  911 controlled agent:  1 ; Episode Return:  -213.0 ; win rate(coFntrolled & opponent):  0.08 0.30 ; Trained episode: 51
Episode:  912 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.30 ; Trained episode: 52
Episode:  913 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.30 ; Trained episode: 52
Episode:  914 controlled agent:  1 ; Episode Return:  -385.0 ; win rate(coFntrolled & opponent):  0.08 0.31 ; Trained episode: 52
Episode:  915 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.30 ; Trained episode: 52
Episode:  916 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.08 0.30 ; Trained episode: 52
Episode:  917 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 52
Episode:  918 controlled agent:  1 ; Episode Return:  -398.0 ; win rate(coFntrolled & opponent):  0.07 0.31 ; Trained episode: 52
Episode:  919 controlled agent:  1 ; Episode Return:  -137.0 ; win rate(coFntrolled & opponent):  0.07 0.31 ; Trained episode: 52
Episode:  920 controlled agent:  1 ; Episode Return:  -267.0 ; win rate(coFntrolled & opponent):  0.07 0.32 ; Trained episode: 52
Episode:  921 controlled agent:  1 ; Episode Return:  -226.0 ; win rate(coFntrolled & opponent):  0.07 0.33 ; Trained episode: 52
Episode:  922 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.33 ; Trained episode: 52
Episode:  923 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.32 ; Trained episode: 52
Episode:  924 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.31 ; Trained episode: 52
Episode:  925 controlled agent:  1 ; Episode Return:  -163.0 ; win rate(coFntrolled & opponent):  0.07 0.32 ; Trained episode: 52
Episode:  926 controlled agent:  1 ; Episode Return:  -372.0 ; win rate(coFntrolled & opponent):  0.06 0.33 ; Trained episode: 52
Episode:  927 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.33 ; Trained episode: 52
Episode:  928 controlled agent:  1 ; Episode Return:  -222.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 52
Episode:  929 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.34 ; Trained episode: 52
Episode:  930 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.33 ; Trained episode: 52
Episode:  931 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.33 ; Trained episode: 52
Episode:  932 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.32 ; Trained episode: 52
Episode:  933 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.32 ; Trained episode: 52
Episode:  934 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.32 ; Trained episode: 52
Episode:  935 controlled agent:  1 ; Episode Return:  -138.0 ; win rate(coFntrolled & opponent):  0.05 0.33 ; Trained episode: 52
Episode:  936 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.33 ; Trained episode: 52
Episode:  937 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.33 ; Trained episode: 52
Episode:  938 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.32 ; Trained episode: 52
Episode:  939 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.31 ; Trained episode: 52
Episode:  940 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.30 ; Trained episode: 52
Episode:  941 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 52
Episode:  942 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.28 ; Trained episode: 52
Episode:  943 controlled agent:  1 ; Episode Return:  -194.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 52
Episode:  944 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.05 0.29 ; Trained episode: 52
Episode:  945 controlled agent:  1 ; Episode Return:  -359.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 52
Episode:  946 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 53
Episode:  947 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.28 ; Trained episode: 53
Episode:  948 controlled agent:  1 ; Episode Return:  -406.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 53
Episode:  949 controlled agent:  1 ; Episode Return:  -366.0 ; win rate(coFntrolled & opponent):  0.06 0.29 ; Trained episode: 53
Episode:  950 controlled agent:  1 ; Episode Return:  -370.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 53
Episode:  951 controlled agent:  1 ; Episode Return:  -230.0 ; win rate(coFntrolled & opponent):  0.06 0.31 ; Trained episode: 53
Episode:  952 controlled agent:  1 ; Episode Return:  -171.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 53
Episode:  953 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 54
Episode:  954 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 54
Episode:  955 controlled agent:  1 ; Episode Return:  -306.0 ; win rate(coFntrolled & opponent):  0.07 0.31 ; Trained episode: 54
Episode:  956 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 54
Episode:  957 controlled agent:  1 ; Episode Return:  -321.0 ; win rate(coFntrolled & opponent):  0.07 0.30 ; Trained episode: 54
Episode:  958 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.06 0.30 ; Trained episode: 54
Episode:  959 controlled agent:  1 ; Episode Return:  -442.0 ; win rate(coFntrolled & opponent):  0.06 0.31 ; Trained episode: 54
