{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 5,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /dssg/home/acct-stu/stu486/OlympicsProject/rl_trainer/models/olympics-running/ppo/run5
Episode:  132 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  133 controlled agent:  1 ; Episode Return:  -336.0 ; win rate(coFntrolled & opponent):  0.11 0.11 ; Trained episode: 12
Episode:  134 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  135 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  136 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  137 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  138 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.11 0.10 ; Trained episode: 12
Episode:  139 controlled agent:  1 ; Episode Return:  -219.0 ; win rate(coFntrolled & opponent):  0.12 0.10 ; Trained episode: 12
Episode:  140 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.09 ; Trained episode: 13
Episode:  141 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.09 ; Trained episode: 13
Episode:  142 controlled agent:  1 ; Episode Return:  -212.0 ; win rate(coFntrolled & opponent):  0.12 0.10 ; Trained episode: 13
Episode:  143 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.10 ; Trained episode: 13
Episode:  144 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(coFntrolled & opponent):  0.12 0.10 ; Trained episode: 13
